Mon, 07 Feb 2022 18:34:47 GMT | INFO | mobile.log | Scraping item 8/10 of page 106..... | 
Mon, 07 Feb 2022 18:34:47 GMT | INFO | mobile.log | Scraping item 9/10 of page 106..... | 
Mon, 07 Feb 2022 18:34:47 GMT | INFO | mobile.log | Scraping item 10/10 of page 106..... | 
Mon, 07 Feb 2022 18:34:50 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 106 | 
Mon, 07 Feb 2022 18:34:50 GMT | INFO | mobile.log | Successfully scraped 1090 till now | 
Mon, 07 Feb 2022 18:34:52 GMT | INFO | mobile.log | Start scrapping page 107....... | 
Mon, 07 Feb 2022 18:34:52 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:34:52 GMT | INFO | mobile.log | Scraping item 1/10 of page 107..... | 
Mon, 07 Feb 2022 18:34:52 GMT | INFO | mobile.log | Scraping item 2/10 of page 107..... | 
Mon, 07 Feb 2022 18:34:52 GMT | INFO | mobile.log | Scraping item 3/10 of page 107..... | 
Mon, 07 Feb 2022 18:34:52 GMT | INFO | mobile.log | Scraping item 4/10 of page 107..... | 
Mon, 07 Feb 2022 18:34:52 GMT | INFO | mobile.log | Scraping item 5/10 of page 107..... | 
Mon, 07 Feb 2022 18:34:52 GMT | INFO | mobile.log | Scraping item 6/10 of page 107..... | 
Mon, 07 Feb 2022 18:34:52 GMT | INFO | mobile.log | Scraping item 7/10 of page 107..... | 
Mon, 07 Feb 2022 18:34:52 GMT | INFO | mobile.log | Scraping item 8/10 of page 107..... | 
Mon, 07 Feb 2022 18:34:52 GMT | INFO | mobile.log | Scraping item 9/10 of page 107..... | 
Mon, 07 Feb 2022 18:34:52 GMT | INFO | mobile.log | Scraping item 10/10 of page 107..... | 
Mon, 07 Feb 2022 18:34:54 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 107 | 
Mon, 07 Feb 2022 18:34:54 GMT | INFO | mobile.log | Successfully scraped 1100 till now | 
Mon, 07 Feb 2022 18:34:56 GMT | INFO | mobile.log | Start scrapping page 108....... | 
Mon, 07 Feb 2022 18:34:56 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:34:56 GMT | INFO | mobile.log | Scraping item 1/10 of page 108..... | 
Mon, 07 Feb 2022 18:34:56 GMT | INFO | mobile.log | Scraping item 2/10 of page 108..... | 
Mon, 07 Feb 2022 18:34:56 GMT | INFO | mobile.log | Scraping item 3/10 of page 108..... | 
Mon, 07 Feb 2022 18:34:56 GMT | INFO | mobile.log | Scraping item 4/10 of page 108..... | 
Mon, 07 Feb 2022 18:34:56 GMT | INFO | mobile.log | Scraping item 5/10 of page 108..... | 
Mon, 07 Feb 2022 18:34:56 GMT | INFO | mobile.log | Scraping item 6/10 of page 108..... | 
Mon, 07 Feb 2022 18:34:56 GMT | INFO | mobile.log | Scraping item 7/10 of page 108..... | 
Mon, 07 Feb 2022 18:34:56 GMT | INFO | mobile.log | Scraping item 8/10 of page 108..... | 
Mon, 07 Feb 2022 18:34:56 GMT | INFO | mobile.log | Scraping item 9/10 of page 108..... | 
Mon, 07 Feb 2022 18:34:56 GMT | INFO | mobile.log | Scraping item 10/10 of page 108..... | 
Mon, 07 Feb 2022 18:34:58 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 108 | 
Mon, 07 Feb 2022 18:34:58 GMT | INFO | mobile.log | Successfully scraped 1110 till now | 
Mon, 07 Feb 2022 18:34:59 GMT | INFO | mobile.log | Start scrapping page 109....... | 
Mon, 07 Feb 2022 18:34:59 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:34:59 GMT | INFO | mobile.log | Scraping item 1/10 of page 109..... | 
Mon, 07 Feb 2022 18:34:59 GMT | INFO | mobile.log | Scraping item 2/10 of page 109..... | 
Mon, 07 Feb 2022 18:34:59 GMT | INFO | mobile.log | Scraping item 3/10 of page 109..... | 
Mon, 07 Feb 2022 18:34:59 GMT | INFO | mobile.log | Scraping item 4/10 of page 109..... | 
Mon, 07 Feb 2022 18:34:59 GMT | INFO | mobile.log | Scraping item 5/10 of page 109..... | 
Mon, 07 Feb 2022 18:34:59 GMT | INFO | mobile.log | Scraping item 6/10 of page 109..... | 
Mon, 07 Feb 2022 18:34:59 GMT | INFO | mobile.log | Scraping item 7/10 of page 109..... | 
Mon, 07 Feb 2022 18:34:59 GMT | INFO | mobile.log | Scraping item 8/10 of page 109..... | 
Mon, 07 Feb 2022 18:34:59 GMT | INFO | mobile.log | Scraping item 9/10 of page 109..... | 
Mon, 07 Feb 2022 18:34:59 GMT | INFO | mobile.log | Scraping item 10/10 of page 109..... | 
Mon, 07 Feb 2022 18:35:02 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 109 | 
Mon, 07 Feb 2022 18:35:02 GMT | INFO | mobile.log | Successfully scraped 1120 till now | 
Mon, 07 Feb 2022 18:35:04 GMT | INFO | mobile.log | Start scrapping page 110....... | 
Mon, 07 Feb 2022 18:35:04 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:35:04 GMT | INFO | mobile.log | Scraping item 1/10 of page 110..... | 
Mon, 07 Feb 2022 18:35:04 GMT | INFO | mobile.log | Scraping item 2/10 of page 110..... | 
Mon, 07 Feb 2022 18:35:04 GMT | INFO | mobile.log | Scraping item 3/10 of page 110..... | 
Mon, 07 Feb 2022 18:35:04 GMT | INFO | mobile.log | Scraping item 4/10 of page 110..... | 
Mon, 07 Feb 2022 18:35:04 GMT | INFO | mobile.log | Scraping item 5/10 of page 110..... | 
Mon, 07 Feb 2022 18:35:04 GMT | INFO | mobile.log | Scraping item 6/10 of page 110..... | 
Mon, 07 Feb 2022 18:35:04 GMT | INFO | mobile.log | Scraping item 7/10 of page 110..... | 
Mon, 07 Feb 2022 18:35:04 GMT | INFO | mobile.log | Scraping item 8/10 of page 110..... | 
Mon, 07 Feb 2022 18:35:04 GMT | INFO | mobile.log | Scraping item 9/10 of page 110..... | 
Mon, 07 Feb 2022 18:35:04 GMT | INFO | mobile.log | Scraping item 10/10 of page 110..... | 
Mon, 07 Feb 2022 18:35:07 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 110 | 
Mon, 07 Feb 2022 18:35:07 GMT | INFO | mobile.log | Successfully scraped 1130 till now | 
Mon, 07 Feb 2022 18:35:09 GMT | INFO | mobile.log | Start scrapping page 111....... | 
Mon, 07 Feb 2022 18:35:09 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:35:09 GMT | INFO | mobile.log | Scraping item 1/10 of page 111..... | 
Mon, 07 Feb 2022 18:35:09 GMT | INFO | mobile.log | Scraping item 2/10 of page 111..... | 
Mon, 07 Feb 2022 18:35:09 GMT | INFO | mobile.log | Scraping item 3/10 of page 111..... | 
Mon, 07 Feb 2022 18:35:09 GMT | INFO | mobile.log | Scraping item 4/10 of page 111..... | 
Mon, 07 Feb 2022 18:35:09 GMT | INFO | mobile.log | Scraping item 5/10 of page 111..... | 
Mon, 07 Feb 2022 18:35:09 GMT | INFO | mobile.log | Scraping item 6/10 of page 111..... | 
Mon, 07 Feb 2022 18:35:09 GMT | INFO | mobile.log | Scraping item 7/10 of page 111..... | 
Mon, 07 Feb 2022 18:35:09 GMT | INFO | mobile.log | Scraping item 8/10 of page 111..... | 
Mon, 07 Feb 2022 18:35:09 GMT | INFO | mobile.log | Scraping item 9/10 of page 111..... | 
Mon, 07 Feb 2022 18:35:09 GMT | INFO | mobile.log | Scraping item 10/10 of page 111..... | 
Mon, 07 Feb 2022 18:35:13 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 111 | 
Mon, 07 Feb 2022 18:35:13 GMT | INFO | mobile.log | Successfully scraped 1140 till now | 
Mon, 07 Feb 2022 18:35:15 GMT | INFO | mobile.log | Start scrapping page 112....... | 
Mon, 07 Feb 2022 18:35:15 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:35:15 GMT | INFO | mobile.log | Scraping item 1/10 of page 112..... | 
Mon, 07 Feb 2022 18:35:15 GMT | INFO | mobile.log | Scraping item 2/10 of page 112..... | 
Mon, 07 Feb 2022 18:35:15 GMT | INFO | mobile.log | Scraping item 3/10 of page 112..... | 
Mon, 07 Feb 2022 18:35:15 GMT | INFO | mobile.log | Scraping item 4/10 of page 112..... | 
Mon, 07 Feb 2022 18:35:15 GMT | INFO | mobile.log | Scraping item 5/10 of page 112..... | 
Mon, 07 Feb 2022 18:35:15 GMT | INFO | mobile.log | Scraping item 6/10 of page 112..... | 
Mon, 07 Feb 2022 18:35:15 GMT | INFO | mobile.log | Scraping item 7/10 of page 112..... | 
Mon, 07 Feb 2022 18:35:15 GMT | INFO | mobile.log | Scraping item 8/10 of page 112..... | 
Mon, 07 Feb 2022 18:35:15 GMT | INFO | mobile.log | Scraping item 9/10 of page 112..... | 
Mon, 07 Feb 2022 18:35:15 GMT | INFO | mobile.log | Scraping item 10/10 of page 112..... | 
Mon, 07 Feb 2022 18:35:18 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 112 | 
Mon, 07 Feb 2022 18:35:18 GMT | INFO | mobile.log | Successfully scraped 1150 till now | 
Mon, 07 Feb 2022 18:35:20 GMT | INFO | mobile.log | Start scrapping page 113....... | 
Mon, 07 Feb 2022 18:35:20 GMT | INFO | mobile.log | Scraping 10 items | 
